review_id,customer_id,product_id,review_text,star_rating,review_date,verified_purchase
REV00001,CUST00913,PROD0004,Adequate. Nothing to write home about.,3,2025-05-10,Yes
REV00002,CUST02007,PROD0029,Exceptional product. Worth every penny.,5,2023-05-02,Yes
REV00003,CUST00840,PROD0087,Poor design. Doesn't work properly.,1,2023-03-29,Yes
REV00004,CUST04468,PROD0012,Terrible experience from start to finish.,2,2023-05-11,Yes
REV00005,CUST03457,PROD0005,Absolutely love this product! Exceeded all my expectations.,5,2025-03-16,Yes
REV00006,CUST00768,PROD0028,Love it! Great value for money.,5,2024-04-04,Yes
REV00007,CUST04140,PROD0078,Very disappointed. Poor quality.,1,2025-05-06,Yes
REV00008,CUST04598,PROD0026,Flawless product. Highly recommend!,4,2024-11-30,Yes
REV00009,CUST04465,PROD0054,Love it! Great value for money.,4,2024-11-17,Yes
REV00010,CUST03680,PROD0076,Excellent product. Very happy with this purchase.,4,2025-04-11,Yes
REV00011,CUST00054,PROD0098,Exceeded all expectations. Love it!,5,2024-10-08,Yes
REV00012,CUST01308,PROD0090,Unacceptable quality. Very disappointed.,1,2024-01-23,No
REV00013,CUST02788,PROD0036,Exceptional product. Worth every penny.,4,2025-02-15,Yes
REV00014,CUST01764,PROD0098,It's alright. Met expectations.,3,2023-04-02,Yes
REV00015,CUST00838,PROD0012,Worst purchase ever. Avoid.,2,2024-05-23,No
REV00016,CUST00793,PROD0046,Extremely disappointed. Poor quality.,2,2025-10-22,Yes
REV00017,CUST02818,PROD0078,Adequate. Nothing to write home about.,3,2024-12-03,No
REV00018,CUST00356,PROD0094,Perfect fit and excellent quality.,4,2023-07-21,No
REV00019,CUST04393,PROD0016,Absolutely worth it. Very pleased.,4,2025-03-26,Yes
REV00020,CUST03101,PROD0011,Excellent! Much better than expected.,4,2025-10-13,No
REV00021,CUST02402,PROD0081,Best quality I've seen. Very happy.,5,2023-12-04,Yes
REV00022,CUST02963,PROD0074,Fantastic! Better than advertised.,4,2023-08-05,Yes
REV00023,CUST00570,PROD0006,Incredible value. Very satisfied customer.,4,2023-01-15,Yes
REV00024,CUST01867,PROD0099,Terrible. Returned immediately.,1,2024-06-04,Yes
REV00025,CUST00654,PROD0030,Extremely disappointed. Poor quality.,2,2024-08-15,Yes
REV00026,CUST00828,PROD0049,Excellent product. Very happy with this purchase.,5,2024-01-14,Yes
REV00027,CUST03715,PROD0082,Decent but not exceptional.,3,2023-02-10,No
REV00028,CUST01333,PROD0048,Very impressed with the quality and service.,5,2025-02-18,Yes
REV00029,CUST01717,PROD0086,Not worth it. Very dissatisfied.,1,2024-02-11,Yes
REV00030,CUST00585,PROD0078,Outstanding service and product quality.,4,2024-11-14,Yes
